Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
6,M185901,1.8,1.73,0.17,†,†,†,†
10,M183901,1.33,0.19,†,†,†,†,†
3,M304501,1.18,0.62,0.15,†,†,†,†
2,M181701,0.72,-1.84,0.16,†,†,†,†
9,M197401,1.29,-0.16,0.18,†,†,†,†
5,M177001,1.14,-0.2,0.29,†,†,†,†
12,M197801,1.12,0.72,0.22,†,†,†,†
2,M175701,1,0.64,0.23,†,†,†,†
12,M180301,1.12,2.02,0.05,†,†,†,†
1,M182901,1.57,1.82,0.26,†,†,†,†
4,M310401,1.34,-0.53,†,†,†,†,†
3,M193101,0.85,1.15,†,†,†,†,†
6,M194101,1.02,0.54,0.14,†,†,†,†
1,M199001,1.32,-1.03,0.2,†,†,†,†
3,M180601,1.76,0.84,0.21,†,†,†,†
8,M184401,1.25,0.48,0.16,†,†,†,†
1,M199701,0.77,-1.42,0.17,†,†,†,†
9,M181801,1.73,1.02,†,†,†,†,†
14,M178701,0.56,3.04,†,0.08,-1.6,1.52,†
1,M302401,0.77,-0.03,0.14,†,†,†,†
8,M301201,1.41,0.29,0.11,†,†,†,†
3,M308401,1.11,0.31,0.11,†,†,†,†
2,M188701,0.94,-0.22,0.25,†,†,†,†
4,M182401,2.41,1.26,0.18,†,†,†,†
12,M1867CL,0.35,-0.41,†,-0.12,1.4,-0.74,-0.55
14,M175901,0.74,3.25,†,0.81,-0.81,†,†
2,M305601,0.92,-0.31,0.22,†,†,†,†
4,M306701,0.44,0.67,†,0.14,-0.14,†,†
8,M304901,1.02,0.03,0.18,†,†,†,†
12,M301701,1.12,1.04,0.14,†,†,†,†
3,M197201,0.55,-0.45,0.18,†,†,†,†
13,M195401,0.13,-0.07,0.21,†,†,†,†
2,M1842CL,0.8,-1.39,†,1.16,-1.16,†,†
3,M1843CL,0.84,1.32,†,0.09,-0.09,†,†
4,M184207,0.64,1.69,†,-0.43,0.43,†,†
9,M179101,0.75,0.11,0.18,†,†,†,†
1,M183001,1.09,-0.55,0.23,†,†,†,†
5,M183201,0.99,0.62,0.2,†,†,†,†
10,M188101,1.15,0.12,0.26,†,†,†,†
2,M198101,1.01,0.13,0.18,†,†,†,†
8,M175601,0.57,-0.36,†,-1.15,1.15,†,†
11,M177201,1.04,0.24,0.2,†,†,†,†
12,M177202,0.93,1.13,†,†,†,†,†
1,M309201,1.4,-0.33,0.22,†,†,†,†
6,M307901,0.71,-0.76,0.19,†,†,†,†
10,M308201,1.25,1.12,0.14,†,†,†,†
13,M310001,0.52,0.19,†,0.48,-0.56,0.08,†
5,M189301,1.61,0.25,0.29,†,†,†,†
8,M189501,0.61,0.76,0.2,†,†,†,†
10,M187101,1.31,0.44,0.26,†,†,†,†
12,M178601,1.33,0.27,0.09,†,†,†,†
3,M198701,0.75,0.19,†,†,†,†,†
4,M177601,0.5,1.13,0.18,†,†,†,†
7,M181901,1.1,0.3,0.17,†,†,†,†
11,M193601,1.44,-0.42,0.1,†,†,†,†
2,M189601,0.99,-0.13,0.22,†,†,†,†
4,M194201,0.77,-0.24,0.16,†,†,†,†
5,M178401,1.14,-0.14,0.13,†,†,†,†
5,M181201,0.67,-0.73,†,†,†,†,†
6,M181202,1.21,0.7,†,1.68,-1.68,†,†
7,M181203,0.49,3.35,†,†,†,†,†
4,M175301,0.85,-0.13,0.16,†,†,†,†
5,M199901,0.9,0.4,0.21,†,†,†,†
3,M302701,0.4,0.22,†,-6.32,6.32,†,†
5,M304101,0.91,-0.19,0.2,†,†,†,†
11,M304701,0.87,1.58,0.16,†,†,†,†
6,M310201,1.21,1.6,0.04,†,†,†,†
8,M310501,0.58,0.59,†,-4.04,4.04,†,†
11,M310901,0.8,2.08,0.23,†,†,†,†
12,M3111CL,0.84,1.92,†,0.39,1.24,-3.1,1.46
3,M183601,0.6,0.79,†,0.71,-0.71,†,†
5,M196501,0.81,0.58,0.35,†,†,†,†
9,M176401,1.17,1.71,0.22,†,†,†,†
11,M186101,2.31,0.79,0.24,†,†,†,†
13,M185801,2.01,1.68,0.12,†,†,†,†
5,M305201,1.6,1.08,0.17,†,†,†,†
7,M302901,0.96,0.46,†,0.25,-0.25,†,†
9,M306601,0.88,0.82,0.1,†,†,†,†
11,M3059CL,0.53,1.58,†,1.74,-3.58,3.02,-1.18
14,M307501,0.62,1.2,†,-0.14,0.14,†,†
1,M197101,1.23,0.67,0.12,†,†,†,†
8,M193401,0.91,1.4,†,0.03,-0.03,†,†
11,M175101,0.35,4.62,0.14,†,†,†,†
12,M183301,1.31,1.64,0.18,†,†,†,†
14,M179201,1.57,1.78,†,0.4,-0.4,†,†
6,M190401,0.95,-0.52,0.15,†,†,†,†
8,M197601,0.91,0.99,†,0.37,-0.37,†,†
10,M197701,1.72,1.25,0.22,†,†,†,†
14,M197901,1.13,-0.02,0.05,†,†,†,†
3,M177301,0.96,0.62,†,0.03,-0.03,†,†
9,M182601,1.11,0.54,0.22,†,†,†,†
13,M185201,0.77,-0.56,†,†,†,†,†
14,M198001,1.31,1.06,0.21,†,†,†,†
3,M198201,2.51,-0.33,0.41,†,†,†,†
4,M198202,1.35,0.22,0.06,†,†,†,†
5,M198203,3.45,-0.16,0.35,†,†,†,†
7,M176701,0.77,1.49,0.1,†,†,†,†
14,M174701,1.27,1.25,0.15,†,†,†,†
3,M311001,0.5,0.25,0.23,†,†,†,†
7,M307701,1.6,-0.26,0.19,†,†,†,†
9,M311501,0.81,1.35,0.22,†,†,†,†
12,M309601,0.78,1.56,0.3,†,†,†,†
1,M187601,1.27,-0.36,0.11,†,†,†,†
7,M188401,2.33,1.16,0.15,†,†,†,†
9,M188001,0.74,0.12,†,-0.7,0.7,†,†
2,M192901,1.11,-0.64,0.18,†,†,†,†
9,M192301,1.35,0.18,0.3,†,†,†,†
10,M198801,0.96,0.49,0.26,†,†,†,†
13,M185501,1.52,0.51,0.28,†,†,†,†
7,M199101,2.74,1.16,0.17,†,†,†,†
8,M199201,0.57,1.21,†,-3.61,3.61,†,†
9,M190901,0.62,0.82,0.08,†,†,†,†
10,M199301,1.61,1.86,0.28,†,†,†,†
11,M190801,0.92,0.95,†,1.27,-1.27,†,†
1,M184301,0.99,-1.22,0.21,†,†,†,†
4,M180701,1.29,-0.02,0.15,†,†,†,†
10,M1765CL,0.56,0.76,†,0.72,-0.04,-0.43,-0.25
12,M189201,1.07,0.83,0.21,†,†,†,†
13,M183101,2.12,1.51,†,†,†,†,†
2,M199801,0.92,0.89,0.17,†,†,†,†
6,M182101,1.01,1.77,0.32,†,†,†,†
7,M182102,1.32,1.63,0.07,†,†,†,†
10,M200101,0.88,0.26,0.13,†,†,†,†
12,M177901,1.16,1.61,0.36,†,†,†,†
2,M306201,0.31,-0.21,0.24,†,†,†,†
6,M301101,0.96,0.77,0.18,†,†,†,†
10,M301601,1.29,1.2,0.29,†,†,†,†
13,M302101,0.67,2.35,†,-0.23,-0.87,1.1,†
14,M303001,1.18,1.23,0.14,†,†,†,†
2,M308801,0.91,0.31,0.2,†,†,†,†
4,M309801,0.94,-0.42,0.15,†,†,†,†
10,M311301,1.29,1.93,0.22,†,†,†,†
1,M192801,0.81,-1.7,0.19,†,†,†,†
7,M178001,1.01,1.34,†,-0.35,0.35,†,†
8,M196601,0.84,-0.43,0.16,†,†,†,†
1,M303801,0.65,-1.12,0.19,†,†,†,†
6,M305301,0.47,-1.79,0.19,†,†,†,†
10,M304201,0.96,1.01,0.3,†,†,†,†
13,M305101,1.37,0.88,0.17,†,†,†,†
4,M197301,0.6,-0.08,0.15,†,†,†,†
5,M197302,0.76,-0.13,0.1,†,†,†,†
6,M197303,1.29,1.69,†,†,†,†,†
7,M197304,1.37,1.36,†,†,†,†,†
10,M1975CL,0.74,1.43,†,1.57,-0.96,-1.07,0.46
1,M184201,1.19,0.73,†,†,†,†,†
7,M174901,1.8,1.4,0.13,†,†,†,†
11,M174801,1.43,2.51,†,0.25,-0.25,†,†
13,M180101,2.4,1.87,0.14,†,†,†,†
4,M194501,0.23,0.24,0.19,†,†,†,†
7,M185702,3.85,1.41,0.1,†,†,†,†
8,M185703,1.14,1.46,†,0.47,-1.34,0.19,0.68
11,M187701,0.68,0.74,†,-0.54,0.54,†,†
6,M183401,1.23,1.88,†,-0.58,0.58,†,†
9,M175001,0.9,-0.12,0.32,†,†,†,†
10,M175002,0.83,1.74,†,-0.46,2.06,1.07,-2.68
13,M182201,3.72,2.07,0.2,†,†,†,†
2,M310601,0.44,0.71,0.17,†,†,†,†
5,M309101,1.49,-0.19,0.15,†,†,†,†
8,M304001,0.54,0.04,†,-3.21,3.21,†,†
11,M309901,1.16,1.52,0.3,†,†,†,†
2,M193801,0.95,-0.67,0.27,†,†,†,†
4,M198601,2.09,1.26,0.1,†,†,†,†
6,M188201,0.85,1.56,†,-0.88,0.88,-0.85,0.85
11,M1943CL,1.08,0.7,†,0.08,-0.08,†,†
13,M189001,0.57,1.75,†,1.98,-1.98,†,†
1,M192701,0.86,0.5,0.19,†,†,†,†
5,M190501,1.01,0.91,0.14,†,†,†,†
8,M191901,0.89,1.14,†,0.06,-0.65,0.39,0.2
12,M198901,1.16,0.98,†,0.72,-0.72,†,†
3,M178501,0.8,1.53,†,-1.35,1.35,†,†
6,M191701,0.74,0.49,†,0.29,-0.29,†,†
12,M199401,1.01,0.52,0.33,†,†,†,†
13,M1897CL,0.39,2.17,†,0.13,-0.11,-0.25,0.23
2,M199501,1.08,0.68,0.28,†,†,†,†
9,M199601,0.92,0.18,0.22,†,†,†,†
11,M183801,0.97,1.95,0.16,†,†,†,†
14,M176601,1.29,1.17,0.18,†,†,†,†
3,M186001,0.92,0.21,†,†,†,†,†
8,M200001,0.49,-0.22,0.22,†,†,†,†
11,M194001,0.61,2.09,†,-0.22,0.22,†,†
13,M185001,2.4,1.43,0.13,†,†,†,†
4,M305801,1.24,-0.1,0.15,†,†,†,†
7,M305501,1.12,-0.3,†,†,†,†,†
9,M306501,1.14,0.02,†,†,†,†,†
12,M305701,1.2,0.85,0.2,†,†,†,†
1,M307801,0.56,-0.84,0.2,†,†,†,†
5,M308001,0.78,0.86,†,†,†,†,†
7,M308601,1.38,-0.16,0.15,†,†,†,†
9,M310301,1.05,0.27,0.12,†,†,†,†
13,M308901,2.47,1.35,0.16,†,†,†,†
