,question,options,answer,subject
0,The shortest distance from the curve xy = 8 to the origin is,"A: 4 
B: 8 
C: 16 
D: 2sqrt(2) ",A,college_math
1,"A total of x feet of fencing is to form three sides of a level rectangular yard. What is the maximum possible area of the yard, in terms of x ?","A: x^2/9 
B: x^2/8 
C: x^2/4 
D: x^2 ",B,college_math
2,"If f(z) is an analytic function that maps the entire finite complex plane into the real axis, then the imaginary axis must be mapped onto","A: the entire real axis 
B: a point 
C: a ray 
D: an open finite interval ",B,college_math
3,"A fair coin is to be tossed 100 times, with each toss resulting in a head or a tail. If H is the total number of heads and T is the total number of tails, which of the following events has the greatest probability?","A: H = 50 
B: T >= 60 
C: 51 <= H <= 55 
D: H >= 48 and T >= 48 ",D,college_math
4,"What is the volume of the solid in xyz-space bounded by the surfaces y = x^2, y = 2 - x^2, z = 0, and z = y + 3?","A: 8/3 
B: 16/3 
C: 32/3 
D: 104/105 ",C,college_math
5,Sofia and Tess will each randomly choose one of the 10 integers from 1 to 10. What is the probability that neither integer chosen will be the square of the other?,"A: 0.64 
B: 0.72 
C: 0.81 
D: 0.95 ",D,college_math
6,The maximum number of acute angles in a convex 10-gon in the Euclidean plane is,"A: 1 
B: 2 
C: 3 
D: 4 ",C,college_math
7,"In xyz-space, what are the coordinates of the point on the plane 2x + y + 3z = 3 that is closest to the origin?","A: (0, 0, 1) 
B: (3/7, 3/14, 9/14) 
C: (7/15, 8/15, 1/15) 
D: (5/6, 1/3, 1/3) ",B,college_math
8,How many real roots does the polynomial 2x^5 + 8x - 7 have?,"A: None 
B: One 
C: Two 
D: Three ",B,college_math
9,Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four?,"A: For any two distinct column vectors u and v of M, the set {u, v} is linearly independent. 
B: The homogeneous system Mx = 0 has only the trivial solution. 
C: The system of equations Mx = b has a unique solution for each real 5 x 1 column vector b. 
D: The determinant of M is nonzero. ",A,college_math
10,"A university’s mathematics department has 10 professors and will offer 20 different courses next semester. Each professor will be assigned to teach exactly 2 of the courses, and each course will have exactly one professor assigned to teach it. If any professor can be assigned to teach any course, how many different complete assignments of the 10 professors to the 20 courses are possible?","A: 20!/2^(10) 
B: 10!/2^9 
C: 10^(20) - 2^(10) 
D: 10^(20) - 100 ",A,college_math
11,Let x and y be positive integers such that 3x + 7y is divisible by 11. Which of the following must also be divisible by 11?,"A: 4x + 6y 
B: x + y + 5 
C: 9x + 4y 
D: 4x - 9y ",D,college_math
12,"If the finite group G contains a subgroup of order five but no element of G other than the identity is its own inverse, then the order of G could be","A: 8 
B: 20 
C: 30 
D: 35 ",D,college_math
13,"Which of the following is not always true for x, y, z ∈ R^k?","A: |x| ≥ 0 
B: |x · y| ≤ |x||y| 
C: |x| = 0 if and only if x = 0 
D: |x + y| = |x| + |y| ",D,college_math
14,"A tank initially contains a salt solution of 3 grams of salt dissolved in 100 liters of water. A salt solution containing 0.02 grams of salt per liter of water is sprayed into the tank at a rate of 4 liters per minute. The sprayed solution is continually mixed with the salt solution in the tank, and the mixture flows out of the tank at a rate of 4 liters per minute. If the mixing is instantaneous, how many grams of salt are in the tank after 100 minutes have elapsed?","A: 2 
B: 2 - e^-2 
C: 2 + e^-2 
D: 2 + e^-4 ",D,college_math
15,"In a survey of 100 undergraduate math majors at a certain college, the following information is
obtained about the courses they are taking during the Spring semester:
41 are enrolled in real analysis,
44 are enrolled in differential equations, 48 are enrolled in linear algebra,
11 are enrolled in both real analysis and linear algebra,
14 are enrolled in both real analysis and differential equations,
19 are enrolled in both differential equations and linear algebra, and 10 are not enrolled in any of these three courses.
How many of the students surveyed are enrolled in all three of these courses?","A: 1 
B: 2 
C: 3 
D: 4 ",A,college_math
16,"The curves y = (sin x + cos x)^4 and y = (sin x - cos x)^4 intersect at x = 0. If a is the smallest positive value of x at which these curves next intersect, determine the area between these curves from x = 0 to x = a.","A: 2 
B: π 
C: 4 
D: 3π/2 ",C,college_math
17,(1+i)^10 =,"A: 1 
B: i 
C: 32 
D: 32i ",D,college_math
18,"Let R be a ring and let U and V be (two-sided) ideals of R. Which of the following must also be ideals of R ?
I. {u + v : u \in and v \in V}
II. {uv : u \in U and v \in V}
III. {x : x \in U and x \in V}","A: II only 
B: III only 
C: I and II only 
D: I and III only ",D,college_math
19,How many positive numbers x satisfy the equation cos(97x) = x?,"A: 1 
B: 15 
C: 31 
D: 49 ",C,college_math
20,"Statement 1 | If A is connected, the closure of A must be connected. Statement 2 | Every continuous function f : (0, 1) → (0, 1) has a fixed point.","A: True, True 
B: True, False 
C: False, True 
D: False, False ",B,college_math
21,Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,"A: x^2 + y^2 = 1 
B: x^2 + y^2 = 2 
C: x^2 + y^2 = 9 
D: x^2 + y^2 = 16 ",C,college_math
22,"Let A be the set of all ordered pairs of integers (m, n) such that 7m + 12n = 22. What is the greatest negative number in the set B = {m + n : (m, n) \in A}?","A: -5 
B: -4 
C: -3 
D: -2 ",B,college_math
23,For which of the following rings is it possible for the product of two nonzero elements to be zero?,"A: The ring of complex numbers 
B: The ring of integers modulo 11 
C: The ring of continuous real-valued functions on [0, 1] 
D: The ring {a + b * sqrt(2) : a and b are rational numbers} ",C,college_math
24,"In the complex z-plane, the set of points satisfying the equation z^2 = |z|^2 is a","A: pair of points 
B: circle 
C: half-line 
D: line ",D,college_math
25,Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle?,"A: 0 
B: 10% 
C: 25% 
D: 50% ",C,college_math
26,"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?","A: 0 
B: 1 
C: 2 
D: 3 ",D,college_math
27,"Let C be the circle in the yz-plane whose equation is (y - 3)^2 + z^2 = 1. If C is revolved around the z-axis, the surface generated is a torus. What is the equation of this torus?","A: x^2 + y^2 + z^2 + 8 = 6y 
B: (x^2 + y^2 + z^2)^2 = 8 + 36(x^2 + z^2) 
C: (x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + z^2) 
D: (x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + y^2) ",D,college_math
28,The map x -> axa^2 of a group G into itself is a homomorphism if and only if,"A: G is abelian 
B: G = {e} 
C: a^3 = e 
D: a^2 = a ",C,college_math
29,"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y?","A: 1/2 
B: 7/12 
C: 5/8 
D: 2/3 ",C,college_math
30,"If f is a continuously differentiable real-valued function defined on the open interval (-1, 4) such that f(3) = 5 and f'(x) ≥ -1 for all x, what is the greatest possible value of f(0)?","A: 3 
B: 4 
C: 5 
D: 8 ",D,college_math
31,The region bounded by the curves y = x and y = x^2 in the first quadrant of the xy-plane is rotated about the y-axis. The volume of the resulting solid of revolution is,"A: π/12 
B: π/6 
C: π/3 
D: 2π/3 ",B,college_math
32,"Let V be the vector space, under the usual operations, of real polynomials that are of degree at most 3. Let W be the subspace of all polynomials p (x) in V such that p (0) = p(1) = p(-1) = 0. Then dim V + dim W is","A: 4 
B: 5 
C: 6 
D: 7 ",B,college_math
